Referencia;Tipo_vivienda;Dirección;Barrio;Distrito;Población;Superficie construida;Superficie útil;Superficie solar;Habitaciones;Baños;Planta;Antigüedad;Conservación;Gastos de comunidad;Precio;Precio/m²;PMZona;PMm²Zona;RMP;RMH;Descripción;Url_foto;Url_vivienda
 IF77045-I-00KG2Q-W-02R0YB;Piso;Calle Gran Vía;Universidad-Malasaña ;Centro; Madrid Capital;132.0;;0.0;3;2;;; En buen estado;;4750.0;35.98;2787.63;26.98;19199.0;38360.0;"Engel & Völkers le presenta esta exclusiva vivienda en un edificio emblemático de Gran Vía, recién rehabilitado.
El piso es completamente exterior y todas sus estancias (menos el baño de invitados) tienen balcones, 9 en total. La vivienda se compone de espacioso salón-comedor, cocina independiente que se comunica con el saón a través de un ventanal sin cristal, dormitorio principal con baño en suite, dos dormitorios secundarios (todos con armarios empotrados), baño de invitados y hall de entrada.
El piso es muy luminoso. Las ventanas son de climalit con puente térmico-acústico. Los techos son altos y tienen molduras, lo que añade valor y elegancia.
Los suelos de la vivienda son de parquet de madera natural.
La calefación es por suelo radiante y el aire acondicionado es por conductos.
La finca cuenta con gimnasio y terraza con solárium en la azotea. Conserje 24 horas
Esta vivienda se encuentra ubicada en una de las calles más emblemáticas y famosas de Madrid, en el cosmopolita barrio de Malasaña - Universidad, con una larga tradición como calle comercial, empresarial y cultural gracias al gran número de teatros que encontramos en ella. Edificios históricos de más de 100 años, con fachadas clásicas típicas del centro de Madrid y bonitos balcones, conforman esta bonita y vibrante zona.
Malasaña se caracteriza por su ambiente jovial, creativo y el diseño de su sinfín de comercios y locales de moda. Hoy en día, es uno de los barrios de Madrid con mayor número de teatros, museos y centros culturales ofreciendo una amplia oferta de ocio que lo han convertido en un referente cultural dentro de la ciudad.
Esta zona a su vez cuenta con excelentes infraestructuras, estando muy bien comunicada por transporte público (metro y autobús) y con fácil acceso a la M-30.";https://fotos.imghs.net/apps/1018/964/1018_32799964_1_2023100313100517884.jpg;https://www.pisos.com/alquilar/piso-universidad_malasana28004-38429731585_101800/
 2712-003076;Loft;Calle Miño;;Camarma de Esteruelas;Camarma de Esteruelas;80.0;58.0;0.0;1;1; Bajo; Entre 10 y 20 años; En buen estado;;775.0;9.69;1075.0;8.5;13416.0;38662.0;"Moderno y funcional loft en alquiler.
Situado en Camarma de Esteruelas, dispone de dos plantas. En la planta baja se encuentra la cocina americana con electrodomésticos, el amplio salón comedor y el baño con plato de ducha y la planta primera tiene un dormitorio,
El Loft dispone de un bonito jardín situado a la salida del salón para disfrutar de tus desayunos y de increíbles veladas a la luz de la luna.
El alquiler incluye plaza de garaje en parking de superficie.
Rodeado de zonas ajardinadas y para conservar tu privacidad tiene acceso de seguridad 24 horas.
COMISIÓN A LA AGENCIA DE UNA MENSUALIDAD (I.V.A. no incluido). No es una vivienda residencial.
Imprescindible Contrato de Trabajo y nóminas. Se requiere 1 mes de FIANZA.
Si necesita consultar o ampliar información envíe un e-mail con su teléfono y nosotros le llamaremos, también puede ponerse en contacto a través del 91.879.79.14 (Horario comercial, de lunes a Viernes: 10:00h-14:00h y 17:00h-20:30h. Sábados: 10:30h-13:00h. Consultar horario de verano.";https://fotos.imghs.net/apps/2712/41741603714.271200/2712_41741603714_11_20240201113133524.jpg;https://www.pisos.com/alquilar/loft-camarma_de_esteruelas_centro_urbano-41741603714_271200/
 IF77045-I-00KVW1-W-02UR5U;Piso;Chamartin;Nueva España ;Chamartín; Madrid Capital;297.0;;0.0;5;5; 1;; En buen estado;;5300.0;17.85;3396.94;22.37;28233.0;69670.0;"Engel & Völkers presenta este espacioso piso de 297 metros
cuadrados, ubicado en una de las zonas más prestigiosas de Madrid.
Con 5 habitaciones y 5 baños.
Cocina equipada con electrodomésticos de primera calidad.
El piso cuenta con una distribución inteligente que maximiza el
espacio y ofrece un ambiente luminoso y acogedor.
Las habitaciones son amplias y cuentan con armarios empotrados.
Dos de la habitaciones tienen baño en suite y el dormitorio principal cuenta con un vestidor, brindándote privacidad y confort. Cuenta con habitación de servicio y baño.
Amplio salón con amplios ventanales que lo hacen muy luminoso.
La vivienda dispone de aire acondicionado central y suelo radiante, tanto frío como calor.
La vivienda se controla por domótica para mejorar la comodidad y la eficiencia energética y la seguridad en los espacios habitables.
Dispone de plaza de garaje.
La urbanización cuenta con una piscina y áreas verdes.
No pierdas la oportunidad de vivir en este lujoso piso en una de las
mejores ubicaciones de Madrid. Contáctanos ahora para más
información y concertar una visita. ¡No te lo puedes perder!
La vivienda está situada en el corazón de Chamartín, cerca del centro financiero y dentro de una de las mejores zonas residenciales de Madrid. La zona tiene una comunicación excepcional a través de transporte público con el resto de la ciudad y alrededores, con una estación de metro cercana y además con numerosas líneas de autobuses. Se ubica próxima a importantes arterias de tráfico rodado, lo que garantiza una excelente comunicación a través de vehículo propio. Disfruta de una gran oferta de restaurantes, locales comerciales, zonas verdes y colegios. Tiene acceso inmediato a la M-30, M-40, Intercambiador de transportes de Plaza de Castilla y al aeropuerto y está muy próxima a los centros financieros de AZCA y CTBA (Cuatro Torres Business Area).";https://fotos.imghs.net/apps/1018/484/1018_35707484_1_2024020918025294996.jpg;https://www.pisos.com/alquilar/piso-nueva_espana28016-41669578262_101800/
 SA98-er562;Piso;Calle del Jazmín, cerca de Calle de la Dulzaina;Costillares ;Ciudad Lineal; Madrid Capital;81.0;;0.0;2;1; 2;;;;1250.0;15.43;1916.11;16.14;16890.0;41311.0;"''Exclusivas Ramos presenta:

Magnifica vivienda exterior y muy luminosa en urbanización con piscina.

El piso esta semi-amueblado.

Consta de dos dormitorio con armarios empotrados y aire acondicionado en el dormitorio principal, un baño completo con bañera y ventana, salón comedor amueblado con aire acondicionado y muy luminoso, cocina completamente reformada y equipada con todos los electrodomésticos.
PLAZA GARAJE OPCIONAL POR 50€/AL MES.

La vivienda cuenta con suelos de parquet en espiga, puertas color cerezo, pintura en gotelé y calefacción por gas natural individual.

La finca tiene magnificas zonas comunes en la urbanización como piscina, zonas verdes, zona de ocio, mesa de ping pong y la finca también dispone de portero físico.

No se admiten mascotas.

Muy buena conexión de transporte con autobuses, parada de metro a 5' andando, cercanías, supermercados, centro medico, y fácil acceso a las carreteras M-11 y M30 (A1, A2, A3).

Mejor ver''";https://fotos.imghs.net/apps/1005/253/1005_3893253_1_2024012513011797054.jpg;https://www.pisos.com/alquilar/piso-costillares-40920063718_100500/
 AG333-PIS0114;Piso;Zona Parque Sur;Zona Parque Sur ;Tres Cantos;Tres Cantos;157.0;120.0;0.0;4;2;;;;;1550.0;9.87;1621.88;11.7;20477.0;59299.0;"""VIVIENDAINMO3CANTOS"" Alquila la ""Casa Bonita"" de Tres Cantos, un exclusivo piso de 154 m² con estupenda terraza en una de las mejores zonas de Tres Cantos en Sector Océanos con la mejor orientación y amplitud de vistas.



La vivienda dispone de salón-comedor con chimenea de 24 m² con salida a la espléndida terraza con orientación Sur y vistas espectaculares.



La vivienda dispone de una reforma recientemente como ventanas cambiadas en toda la vivienda, suelo recién acuchillado, baños actualizados, muebles de cocina y electrodomésticos, recién pintada, radiadores, etc..



Se trata de una vivienda con todas las habitaciones al exterior, disponiendo de 4 dormitorios con jardineras en fachada, dos baños completos, cocina-office independiente y tendedero.



Una última planta integrada en un magnífico entorno, que le permite tener unas preciosas vistas a uno de los parques más bonitos de Tres Cantos, el Parque Alcornoques.



El piso se alquila con plaza de garaje, de fácil acceso y con capacidad para un coche y una moto . Dispone de calefacción individual con caldera propia.



El entorno de la vivienda está dotado de todo tipo de servicios (ocio, supermercados, ambulatorio médico, polideportivos, colegios e institutos) y bien comunicado mediante transporte público y acceso rápido a la autovía.



En sus zonas comunes encontramos piscina, zonas ajardinadas y cuarto de trastero.



Con muchos espacios verdes, Tres Cantos con más de 60.000 habitantes, la ciudad cuenta con líneas de autobuses directos al centro de Madrid, con la posibilidad de desplazarse en el tren de cercanías con multitud de horarios disponibles.



Las condiciones son: 2 fianzas y mes en curso.



Pedimos nominas y contrato de trabajo.[IW]";https://fotos.imghs.net/apps/1085/473/1085_AG333-1153473_1_2024020211230231250.jpg;https://www.pisos.com/alquilar/piso-zona_parque_sur-41748189214_108500/
 IF77045-I-00K0FK-W-02N3QV;Piso;Calle de Génova;Almagro ;Chamberí; Madrid Capital;187.0;;0.0;3;3;;; En buen estado;;6750.0;36.1;3441.98;25.93;25275.0;56281.0;"Engel & Völkers presenta este piso en el centro de Almagro.
Situado en un edificio de imagen representativa de este barrio y reformado en su totalidad.
Consta de un amplio salón con comedor con tres balcones a la calle Génova. Cocina independiente y equipada con electrodomésticos de alta gama.
Se compone de tres habitaciones, la master room con vestidor y baño ensuite, además de un aseo de cortesía y un baño completo que da servicio a las otras dos habitaciones. Cabe destacar la luminosidad del piso y el buen gusto en la selección de materiales de alta calidad.
Otras características de esta finca moderna es que dispone un gimnasio y piscina interior.
Todas la viviendas están reformadas con un aislamiento tanto térmico como acústico.
Su ubicación excelente cerca de la Plaza de Colón y de Alonso Martínez, lo hacen aún mas atractiva.
Posibilidad de una plaza de garaje en el mismo edificio.
El apartamento se encuentra en el barrio de Almagro, una de
las zonas más elegantes de Madrid. A escasos metros del
Paseo de la Castellana, goza de una buena comunicación a
través de varias estaciones de metro y muchas líneas de
autobuses en su vecindad. Presenta una excelente cercanía a
puntos de interés turístico, y zonas comerciales y de negocio
de la capital. Todo ello unido a la gran oferta de espacios
gastronómicos. El barrio, que está poblado por embajadas (de
Alemania, Suecia, Finlandia, Hungría, Brasil) y galerías o
centros culturales (Instituto Goethe, Centro Cultural Coreano,
Fundación Japonesa, Instituto del Cine) es conocido
también como el Triángulo de Oro de Madrid.";https://fotos.imghs.net/apps/1018/983/1018_29382983_1_2023100313104257074.jpg;https://www.pisos.com/alquilar/piso-chamberi_almagro28004-38429880369_101800/
 IF77045-I-00KRHL-W-02TM0Y;Piso;Salamanca;Guindalera ;Salamanca; Madrid Capital;191.0;;0.0;4;3;;; En buen estado;;3500.0;18.32;3886.67;27.61;25956.0;60217.0;"Engel & Völkers pone a su disposición este amplio piso reformado de 181 m2 útiles, disponible para entrar a vivir ya, con excelentes calidades y techos altos. La vivienda se encuentra en excelente estado, amueblada para entrar a vivir ya. El piso se distribuye así: al entrar nos encontramos con el hall que se separa de las demás estancias con una puerta corrediza y cuenta con armario empotrado, a nuestra izquierda encontramos un dormitorio con dos alturas y un baño completo en suite, el área inferior puede utilizarse como otro dormitorio, una zona de juegos, despacho, cuarto de plancha, etc. Si continuamos por el hall a la derecha nos encontramos con el salón comedor, separado de la cocina por paredes de cristal. Al final del salón-comedor hay un hermoso patio integrado a la vivienda sellado con cristales y tres puertas de acceso al mismo, el cual aporta luz al piso. Más adelante encontramos el segundo baño completo junto a otro dormitorio completo con armarios empotrados. El último dormitorio, utilizado como dormitorio principal, cuenta con dos alturas y dos armarios empotrados, posee un baño en suite con ducha. La amplia cocina, totalmente equipada, tiene múltiples espacios para almacenamiento, es bastante funcional. La vivienda además cuenta con sistema de riego automatizado instalado en el patio, equipo de sonido en el salón, aire acondicionado Split, calefacción central incluida en el precio, sistema de alarma en toda la vivienda, puerta reforzada y caja fuerte. Los suelos de toda la vivienda son de Porcelanosa y las escaleras de madera. Además, el piso se alquila junto a sus dos plazas de garaje ubicadas a 50 m. de la vivienda. Si desea coordinar una visita, no dude en contactarnos.
Engel & Völkers ofrece esta propiedad situada en Guindalera, Salamanca, en la zona peatonal de una calle localizada a tres minutos andando de la estación de metro Diego de León y la calle Francisco Silvela, muy cerca de la estación de metro Avenida de América. Esta zona cuenta con una amplia gama comercial, como el mercado de la Guindalera, oferta de ocio, cultura, lugares históricos como la Plaza de Toros de las Ventas, zonas deportivas y espacio residencial donde encontrar áreas escolares (parques, colegios, etc.) Podrás resolver todas tus necesidades sin necesidad de utilizar el coche. Dentro del ilustre Barrio Salamanca, se encuentra Guindalera donde puedes encontrar las líneas 2, 4, 6, 7 y 9 del Metro de Madrid y casi todas las líneas de autobuses. El acceso a la M-30 es muy fácil. ¡Vivir en el centro de Madrid nunca ha sido tan agradable!";https://fotos.imghs.net/apps/1018/430/1018_35050430_13_2023100912103078823.jpg;https://www.pisos.com/alquilar/piso-guindalera28028-38423385412_101800/
 AF22-1710/219;Piso;Retiro;Niño Jesús ;Retiro; Madrid Capital;140.0;;0.0;4;3;;; En buen estado;;2300.0;16.43;2506.52;22.52;23925.0;57448.0;"Alfa Doctor Esquerdo ofrece esta amplia y singular vivienda en la zona de Retiro, (RETIRO 2)
Vivienda totalmente exterior que cuenta con un amplio salón comedor con una bonita terraza con vistas a parque, cuatro habitaciones dos de ellas con el baño en suite, tres cuartos de baño y una cocina con tendedero.
Aire acondicionado en salón.
Opcional plaza de garaje 120€.

¡Nos se pierda esta oportunidad!";https://fotos.imghs.net/apps/1010/219/1010_1710219_1_2024021016302531250.jpg;https://www.pisos.com/alquilar/piso-nino_jesus28009-41763884350_101000/
 XA633-4048;Piso;Distrito Salamanca;Castellana ;Salamanca; Madrid Capital;100.0;;0.0;2;3;;; A estrenar;;2900.0;29.0;3886.67;27.61;25956.0;60217.0;"DISPONIBLE EL 06 DE MARZO DE 2024!


Housingo presenta este magnífico piso recién reformado, el cual cuenta con dos dormitorios y tres cuartos de baño. Ubicado en una finca con ascensor y portero físico, brinda comodidad y seguridad a sus residentes. Además, dispone de calefacción y aire acondicionado, garantizando un ambiente agradable en cualquier época del año. Nuestros pisos ofrecen un contrato de temporada y se pueden alquilar por meses, brindando flexibilidad y comodidad a los estudiantes que buscan una solución de vivienda a medida.


La ubicación del piso es inmejorable, a pocos metros del IE y entre las reconocidas calles Serrano y Velázquez, lo que lo convierte en una opción ideal para estudiantes que buscan una solución de vivienda adaptada a sus necesidades.


Una de las características destacadas de este piso es la amplitud de sus estancias, permitiendo disfrutar de espacios generosos y cómodos. La calidad de los materiales empleados en la reforma es evidente, lo que garantiza un ambiente moderno y elegante. La cocina viene totalmente equipada con electrodomésticos de primera calidad, brindando todas las comodidades necesarias.


La distribución del piso se divide de la siguiente manera: al entrar, nos encontramos con un amplio hall que da acceso al resto de las estancias. El salón comedor cuenta con una cocina semi integrada, lo que fomenta la interacción entre las áreas sociales. Hay dos dormitorios dobles, ambos con baño en suite, lo que proporciona privacidad y comodidad a los residentes. Además, el piso cuenta con un aseo de cortesía adicional.


En resumen, este piso ofrece una excelente opción de vivienda, con una ubicación privilegiada, reforma de alta calidad, amplias estancias y servicios adicionales como ascensor, portero físico, calefacción y aire acondicionado. Su flexibilidad de alquiler por meses y contrato de temporada lo convierte en una opción atractiva para estudiantes y personas que buscan una solución de vivienda adaptada a sus necesidades.


Aprovecha esta oportunidad de convertir este piso en tu hogar, sin importar si te encuentras en la ciudad de Madrid o no. Descubre nuestro innovador sistema de visitas virtuales y reserva tu nuevo hogar de forma rápida y sencilla, sin necesidad de desplazarte físicamente a la vivienda.
?
El Barrio Salamanca es uno de los 21 distritos que forman el municipio de Madrid Capital. Se caracteriza por ser uno de los barrios de mayor nivel de vida de Europa. Las grandes avenidas del siglo XIX del glamuroso Barrio de Salamanca están repletas de restaurantes de alta cocina, boutique de diseñadores, especialmente en la Milla de Oro. Cuenta con exclusivos mercados gourmet como el Mercado de la Paz o Platea, al igual que con numerosas atracciones culturales y de ocio.
?
HousinGo, by David de Gea.
?
Somos una agencia inmobiliaria especializada en la venta y alquiler de activos residenciales en zonas Prime de Madrid. Contamos con tres oficinas de atención al público, una en CALLE AYALA 62, otra en CALLE SERRANO 81, y otra en CALLE VELÁZQUEZ 117, en el Barrio de Salamanca.



Por petición de algunos clientes, no publicamos una gran parte de nuestros inmuebles en portales inmobiliarios. Aunque la mayoría de nuestra cartera está en nuestra página web, frecuentemente tenemos nuevas oportunidades de inversión que se comercializan totalmente off-market.



Si está interesado en alquilar, vender o comprar, puede contactarnos a través de nuestro teléfono fijo 910 053 963, enviarnos un WhatsApp a +34 722 54 49 50, o visitarnos en una de nuestras oficinas. Disponemos de un servicio de Call Center 24 horas al día, 365 días al año, para poder atenderles de manera ininterrumpida";https://fotos.imghs.net/apps/1089/480/1089_XA633-4048A_3_2024012916164631250.jpg;https://www.pisos.com/alquilar/piso-salamanca_castellana28006-40840721797_108900/
 SA3035-05240/7621;Apartamento;San Juan Bautista;San Juan Bautista ;Ciudad Lineal; Madrid Capital;60.0;50.0;0.0;1;1; 4;;;;890.0;14.83;1916.11;16.14;16890.0;41311.0;"Elephant Real Estate ofrece el alquiler de un magnífico apartamento amueblado de 60 metros cuadrados en la zona de San Juan Bautista-Arturo Soria con plaza de parking opcional.

El inmueble es ideal para profesionales y directivos o parejas.

Está distribuido en un hall de entrada, un gran salón, dormitorio, armarios empotrados, un baño completo en mármol y cocina independiente con suelo cerámico y amueblada con todos los electrodomésticos. La vivienda se encuentra en perfecto estado para entrar a vivir, tiene el ajuar completo, es amplia, exterior y muy luminosa. Dispone de calefacción y aire acondicionado individual por bomba de frio/calor, agua caliente, cerramientos de aluminio con cristal Climalit, suelos de parquet con acabados y materiales de buena calidad.

Situada en la 4ª planta de una urbanización cerrada con ascensores, conserje físico, vigilancia nocturna, piscina climatizada y zonas comunes. Ubicada en una zona residencial muy tranquila con todos los servicios principales como supermercados, colegios, guarderías, hospitales, zonas de ocio y el centro comercial “Arturo Soria” muy cercano.
Está perfectamente comunicada, muy próxima a las grandes escuelas de negocio como El Instituto de Empresa y la EAE Business School así como el centro empresarial Torrelaguna, con 5 líneas de autobuses y a 5 minutos de la red de metro Avenida de la Paz, de fácil acceso a la autovía A2 y la salida ""Ramón y Cajal"" de la M-30 y a 15 minutos del Aeropuerto de Barajas.";https://fotos.imghs.net/apps/1005/621/1005_202178037621_1_2023112713115774877.jpg;https://www.pisos.com/alquilar/apartamento-san_juan_bautista28043-39219089638_100500/
 IF77045-I-00KV0N-W-02UHKX;Piso;Moncloa;Argüelles ;Moncloa-Aravaca; Madrid Capital;120.0;;0.0;3;3; 2;;;;2500.0;20.83;2545.3;20.32;24659.0;63205.0;"Engel & Völkers presenta en alquiler esta espaciosa y moderna vivienda, ubicada en pleno Barrio de Argüelles, en la señorial Calle de Rey Francisco. El piso se distribuye en un amplio y luminoso salón comedor, con grandes ventanas que dan hacia un patio interior con grandes árboles, lo que le aporta mucha luminosidad y bonitas vistas de naturaleza. Cuenta con 3 espaciosos dormitorios y 3 baños completos con ducha, dos de los cuales están en suite. El tercer baño hace las veces de baño social, al estar ubicado junto al salón. El dormitorio principal es amplio y luminoso, con grandes armarios empotrados y un moderno baño en suite con plato de ducha. El segundo dormitorio también tienen amplios armarios y grandes ventanas hacia un tranquilo patio interior de la finca, así como su baño en suite. El tercer dormitorio, es individual con grandes armarios y está ubicado junto a la entrada de la vivienda. La cocina americana, integrada al comedor, está totalmente equipada con electrodomésticos de primeras marcas y tiene mucho espacio de almacenamiento. Desde el amplio salón, se disfruta una atmósfera de paz y tranquilidad, lo que hace de esta propiedad un lugar silencioso y especial. El piso tiene calefacción por radiadores a gas y aires acondicionados split en el salón y en los 3 dormitorios. Se encuentra en un edificio totalmente renovado y representativo. Los gastos de Comunidad e IBI están incluidos en el precio de renta. La propiedad es ideal para una pareja o para profesionales que busquen compartir vivienda, en una de las zonas más atractivas de Madrid para vivir.
Engel & Völkers presente este piso ubicado en la mejor zona del Barrio de Argüelles, a escasos dos minutos del Templo de Debod y del parque del Oeste y a un paso del agradable Paseo Pintor Rosales. El Madrid más clásico, la Plaza de Oriente o el Palacio Real se sitúan a no más de un paseo de diez minutos. Enclave ideal para ir caminando a todas partes y disfrutar del placer de vivir rodeado de zonas verdes en pleno centro de Madrid. Barrio con historia y con un presente enriquecedor, lleno de lugares de ocio, y diversa oferta gastronómica, cultural, comercial, educativa. Excelentes comunicaciones; metro muy cercano, bus, proximidad a la M30 y carretera de la Coruña, parking público residentes. Y con la posibilidad de disfrutar de uno de los más grandes y bellos parques de Madrid, el Parque del Oeste y su Rosaleda, todo un privilegio.";https://fotos.imghs.net/apps/1018/053/1018_35557053_1_2024011619013023550.jpg;https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-40922137045_101800/
 IF77045-I-00KVDF-W-02UNAL;Piso;Salamanca;Recoletos ;Salamanca; Madrid Capital;333.0;;0.0;5;5; 3;; En buen estado;;6500.0;19.52;3886.67;27.61;25956.0;60217.0;"Situado frente al parque del Retiro, distrito Salamanca, nos encontramos con este fabuloso piso de estilo señorial. Suelo de Pino Mellis. La distribución de la casa se caracteriza por un hall recibidor de magnifica amplitud, el cual nos conduce a las estancias sociales de la propiedad. Un salón de 40m2 acompañado de dos esplendidos balcones con vistas al parque del Retiro. Continúa en dos salas sociales, normalmente destinadas a comedor y salón secundario. Su gran capacidad de acogida para toda clase de eventos es un punto a destacar. El pasillo con iluminación de posición, nos conduce a la zona más privada de la casa: el dormitorio principal y su baño en suite, 3 amplios dormitorios y un cuarto de servicio. Cocina completamente equipada y un comedor adicional para el día a día, en el otro extremo de la casa. Rodeada de cuatro patios, tres de ellos propios del edificio y un patio de manzana, todos ellos en excelente estado. La orientación sureste del inmueble, aporta calidez y luminosidad a las estancias.
Esta es sin duda una propiedad que destaca por su representatividad, clasicismo, seguridad, e impresionante localización.
La localización del inmueble es inmejorable, cruzando la conocida Calle O’donnell nos topamos con el parque del Retiro. La zona está rodeada por la oferta comercial más prestigiosa de la capital, la milla de oro, donde encontraremos las mejores tiendas y comercios de la ciudad. Además, el barrio ofrece un sinfín de galerías de arte, la mejor restauración posible, y plenitud de espacios de ocio. Muy bien comunicado en transporte público y accesibilidad con vehículo propio.";https://fotos.imghs.net/apps/1018/886/1018_35613886_1_2024012914013200768.jpg;https://www.pisos.com/alquilar/piso-recoletos28009-40883726249_101800/
 IF77045-I-00KVWR-W-02USX4;Piso;Salamanca;Recoletos ;Salamanca; Madrid Capital;108.0;;0.0;2;2; 3;; En buen estado;;2700.0;25.0;3886.67;27.61;25956.0;60217.0;"Engel & Völkers les presenta, en alquiler, esta magnifica vivienda sin amueblar en la calle Núñez de Balboa, a dos manzanas del parque de El Retiro.

Se ubica en edificio recientemente rehabilitado, donde se ha conservado tanto la fachada clásica como el acceso de carruajes de la finca original. El piso se compone de: amplio pasillo - hall de acceso, salón - comedor, con cocina abierta. La cocina esta amueblada y equipada con electrodomesticos Siemens, tiene lavadora-secadora. Dos dormitorios dobles, ambos con armario empotrado y baño completo ensuite. Uno de los baños con ducha, el otro con ducha y bañera jacuzzi. Baños con bidet. Calidades y acabados de lujo. Vivienda con domótica. Calefacción por suelo radiante. El piso cuenta con aire acondicionado por conductos. Portero en horario comercial. Es accesible a minusválidos.

La vivienda es ideal para una persona, una pareja, una pareja con un niño, o dos personas para compartir piso.
La localización del inmueble es inmejorable, situado en Calle Núñez de Balboa, próximo a la calle Jorge Juan, en plena milla de oro y a escasos metros de las conocidas calles de Velázquez, Serrano, Alcalá y de lugares emblemáticos tales como Plaza de la Independencia (Puerta de Alcalá), El Parque del Retiro o La Biblioteca Nacional y Museo Arqueológico. Su ubicación estratégica en el barrio de Recoletos en el distrito Salamanca, garantiza que la vivienda está rodeada por la oferta comercial más prestigiosa de la capital, donde no solo encontraremos las mejores tiendas y boutiques de diseñadores y grandes comercios de la capital, sino que además el barrio ofrece un sinfín de galerías de arte, la mejor restauración en el corazón culinario de mayor calidad en la capital y plenitud de espacios de ocio y entretenimiento para todo tipo de públicos. Excelentes comunicaciones en transporte público y accesibilidad para moverse por la capital en vehículo propio.";https://fotos.imghs.net/apps/1018/622/1018_35712622_1_2024021213022768206.jpg;https://www.pisos.com/alquilar/piso-recoletos28001-41724070870_101800/
 IF77045-I-00KT9H-W-02U27V;Piso;Centro;Embajadores-Lavapiés ;Centro; Madrid Capital;45.0;;0.0;1;1; 4;; En buen estado;;1500.0;33.33;2787.63;26.98;19199.0;38360.0;"***Disponibilidad Febrero 2024***
Engel & Völkers presenta este luminoso inmueble, reformado, de 1 habitación y balcón en la ciudad de Madrid. Se encuentra ubicado en el Barrio Embajadores. Esta vivienda exterior se ofrece amueblado. El inmueble ubicado en la planta cuarta, posee de 45 m2 construidos y que se encuentran distribuidos en un hall de entrada que da acceso al salón-comedor, cocina independiente, 1 habitación con armario empotrado y 1 baño independiente con ducha, que a su vez, sirve para invitados. La cocina está perfectamente equipada con frigorífico, horno, microondas, lavavajillas, y lavadora Todos los acabados son de primera calidad. Cuenta con aire acondicionado tipo split en el salón-comedor y en la habitación. La calefacción esta individualizda por gas y con radiadores en cada estancia. Los suelos son de tarima y de cerámica, todos nuevos y de excelente calidad. La vivienda dispone de una excelente distribución donde el diseño ha sido estudiado al mínimo detalle para garantizar el máximo espacio, luminosidad y confort. Las ventanas son de doble acristalamiento lo que garantiza el aislamiento térmico y acústico. Posee un balcón que le brinda a la vivienda una sensación de libertad por su excelente distribución y las vistas que ofrece.
Esta vivienda en alquiler se ubica en el barrio de Lavapiés, en el corazón de Madrid. La zona ofrece una amplia gama de servicios, desde comercios, farmacias, supermercados y mercados, librerías, colegios, hasta una selección de bares y restaurantes, con variada oferta gastronómica. La zona se caracteriza por su ambiente bohemio y la población más cosmopolita de la capital. El barrio de Lavapiés con más de 500 años de historia, fue la antigua judería de la ciudad. Algunos historiadores afirman toma el nombre debido al acto de ablución que realizaban los judíos antes de sus oraciones. Había una fuente en la plaza donde éstos lavaban sus extremidades como purificación ritual antes de ir a la sinagoga. Tras la expulsión de los judíos, fue derribada y en el solar se construyó la iglesia de San Lorenzo. La zona se encuentra en pleno auge gracias a su diversidad multicultural y su apreciada oferta de eventos culturales por la apertura de galerías de arte y teatros y su cercanía a los Museos. Es un área emergente donde se están abriendo nuevos negocios de pequeño comercio no tradicional. Dispone de un amplio abanico de servicios de transporte público con una estación de tren de Cercanías en la Glorieta de Embajadores, además de varias líneas de autobuses y las estaciones de Metro Lavapiés, Embajadores y Acacias.";https://fotos.imghs.net/apps/1018/148/1018_35701148_1_2024020817020416039.jpg;https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-41754885120_101800/
 XA24-2825-029455;Piso;Parque Oeste - Fuente Cisneros;Parque Oeste-Fuente Cisneros-Campodón ;Alcorcón;Alcorcón;110.0;;0.0;3;2; 1;; En buen estado;;1300.0;11.82;974.29;14.69;13993.0;36837.0;"Magnífico piso de 110m², de 3 dormitorios (principal en suite con vestidor), amplio salón comedor independiente, 2 terrazas, cocina amueblada y equipada con tendedero, y 2 baños. La calefacción es individual de Gas Natural y tiene aire acondicionado por conductos. Tiene armarios empotrados en todas las estancias. El inmueble se entrega recién pintado, es exterior y está sin amueblar. Gastos de comunidad, plaza de garaje y trastero incluidos en el precio. Finca con ascensor, jardines, piscinas, parques infantiles, instalaciones deportivas y portería. Cercano a todo tipo de comercios y servicios.
No se aceptan animales.";https://fotos.imghs.net/apps/1089/347/1089_XA24-73347_1_2024020920064731250.jpg;https://www.pisos.com/alquilar/piso-parque_oeste_fuente_cisneros_campodon-41708095994_108900/
