|PK|NOMBRE|DESCRIPCION-ENTIDAD|HORARIO|EQUIPAMIENTO|TRANSPORTE|DESCRIPCION|ACCESIBILIDAD|CONTENT-URL|NOMBRE-VIA|CLASE-VIAL|TIPO-NUM|NUM|PLANTA|PUERTA|ESCALERAS|ORIENTACION|LOCALIDAD|PROVINCIA|CODIGO-POSTAL|COD-BARRIO|BARRIO|COD-DISTRITO|DISTRITO|COORDENADA-X|COORDENADA-Y|LATITUD|LONGITUD|TELEFONO|FAX|EMAIL|TIPO|Unnamed: 32|Longitude|Latitude
56|8939|Centro de Salud Bucodental||Antes de acudir, póngase en contacto telefónico con el centro    Horario de invierno: De 8 a 14 horas  Semana de San Isidro: 8:30 a 14 horas  Del 3 al 26 de agosto cerrado|Se realiza la filiación a niños/as que acuden al centro y se les pide que vuelvan a los 6 meses o 1 año, según criterio profesional, de modo que se les sigue revisando hasta los 14 años. Esto es fundamental porque se controla todo el periodo eruptivo de piezas definitivas con lo cual se puede orientar acerca del tratamiento conveniente a los niños/as que presentan alteraciones o patología. También se valora la necesidad de un tratamiento de ortodoncia y del momento más adecuado para acudir a la consulta de ortodoncia Ofrece atención bucodental que consiste en:  exploración completa con detección de alteraciones enseñanza de cepillado y control de placa bacteriana, aplicación de cubetas de flúor semestrales y selladores de fosas y fisuras en molares definitivos revisiones periódicas control de dieta y orientación terapéutica.  Estas actividades son muy sencillas, bien aceptadas por el niño/a, indoloras y muy efectivas para reducir el nivel de caries dental en la población infantil.|Metro: Ciudad de los Ángeles salida calle Tertulia (L 3) Bus: 22, 23, 59, 85, 79 y 123 Renfe: Villaverde Bajo||1|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=08784b6faa61c010VgnVCM1000000b205a0aRCRD|FELICIDAD|AVENIDA|V|17.0|||||MADRID|MADRID|28041.0||||VILLAVERDE|441347.0|4467878.0|40.35940720387406|-3.690771730176704|"Recepción: 915 88 87 80                                
Secretaría: 914 80 10 40"||mspbucodental@madrid.es|/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosPrevencionEnfermedades| |-3.690759948569586|40.359406213921545
57|8945|Centro de Salud Buenos Aires|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Buenos Aires (línea 1).  Bus: 141, 143, 54.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a884b6faa61c010VgnVCM1000000b205a0aRCRD|PIO FELIPE|CALLE|V|26.0|||||MADRID|MADRID|28038.0|6.0|NUMANCIA|13.0|PUENTE DE VALLECAS|444537.0|4471709.0|40.39414389575965|-3.653516110652828|913 033 200|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6535268798978606|40.394136536502025
58|8959|Centro de Salud Bustarviejo|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Valdeacederas (línea 1), Tetuán (línea 1).  Bus: 124, 66.  Bicimad: Estación 207 (Azucenas, 1).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d984b6faa61c010VgnVCM1000000b205a0aRCRD|BUSTARVIEJO|CALLE|V|5.0|||||MADRID|MADRID|28020.0|3.0|CASTILLEJOS|6.0|TETUAN|441038.0|4479298.0|40.46226420858311|-3.695450139473327|915 720 998|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6954570701621954|40.462261463162534
59|8975|Centro de Salud Cáceres|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Delicias (línea 3).  Bus: 19, 247, 45, 47, 59, 8, 85, 86.  Cercanías Renfe: Delicias (Líneas C1 y C10).  Bicimad: Estaciones 164 (Paseo de las Delicias 94), 172 (calle Bustamante, 1).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfa84b6faa61c010VgnVCM1000000b205a0aRCRD|CACERES|CALLE|V|4.0|||||MADRID|MADRID|28045.0|5.0|DELICIAS|2.0|ARGANZUELA|441029.0|4472232.0|40.398608115817765|-3.694902512791474|915 309 112|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.694907686220135|40.39860700260993
60|8964|Centro de Salud Campamento|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Colonia Jardín (líneas 10, ML2 y ML3).  Bus: 65.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42c84b6faa61c010VgnVCM1000000b205a0aRCRD|MIRUE&amp;Ntilde;A|CALLE|V|5.0|||||MADRID|MADRID|28024.0|5.0|CAMPAMENTO|10.0|LATINA|433676.0|4471746.0|40.39367887426842|-3.781494220446253|917 113 973|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.7814967770646892|40.39367579288392
61|7651785|Centro de Salud Campo de la Paloma|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Bus: 310, 10, 144, 57.  Bicimad: Estación 433 (calle de Villalobos, 28).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=02b588575dca8410VgnVCM2000000c205a0aRCRD|VILLALOBOS|CALLE|V|14.0|||||MADRID|MADRID|28018.0|4.0|PALOMERAS SURESTE|13.0|PUENTE DE VALLECAS|444993.0|4470359.0|40.38200961794176|-3.6480266165739987|917 789 613|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.648037529935773|40.38200514129166
62|51700|Centro de Salud Canal de Panamá|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Barrio de la Concepción (línea 7).  Bus: 122, 53.  Aparcamiento: Verdaguer y García (44), calle Verdaguer y García.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e3e2598d1351c010VgnVCM1000000b205a0aRCRD|VERDAGUER Y GARCIA|CALLE|V|56.0|||||MADRID|MADRID|28027.0|5.0|SAN PASCUAL|15.0|CIUDAD LINEAL|444653.0|4476944.0|40.441310590245166|-3.652613946853257|914 032 154|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6526156527153457|40.441304093092434
63|41145|Centro de Salud Canillejas|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Torre Arias (línea 5).  Bus: 105, 140, 153, 165, 77.  Bicimad: Estaciones 499 (calle Alcalá, 590), 517 (calle San Mariano, 58), 498 (calle Alcalá, 546).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=76f2598d1351c010VgnVCM1000000b205a0aRCRD|BOLTA&amp;Ntilde;A|CALLE|V|5.0|||||MADRID|MADRID|28022.0|7.0|CANILLEJAS|20.0|SAN BLAS-CANILLEJAS|447919.0|4477261.0|40.44437417492619|-3.614125163190827|913 249 393|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6141332688080454|40.4443707974971
64|7651324|Centro de Salud Carabanchel Alto|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: La Peseta (línea 11).  Bus: 118, 155, 35, E1.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8443c71485ca8410VgnVCM2000000c205a0aRCRD|CARABANCHEL ALTO|AVENIDA|V|150.0|||||MADRID|MADRID|28054.0|6.0|BUENAVISTA|11.0|CARABANCHEL|435971.0|4468168.0|40.36162985090102|-3.754088916669775|915 115 793|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.754097557973489|40.36162321687787
65|8965|Centro de Salud Caramuel|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Puerta del Ángel (línea 6).  Bus: 138.  Bicimad: Estación 224 (calle Caramuel, 51).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4d84b6faa61c010VgnVCM1000000b205a0aRCRD|FUENTEOVEJUNA|CALLE|V|17.0|||||MADRID|MADRID|28011.0|2.0|PUERTA DEL ANGEL|10.0|LATINA|438230.0|4473423.0|40.409139123525705|-3.7279991374756367|914 635 879 / 914 798 262|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.728003905177622|40.409133146507614
66|9050|Centro de Salud Casa de Campo|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Bus: 41, 75, 46.  Bicimad: Estación 314 (avenida de Valladolid, 47G, 47).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67e84b6faa61c010VgnVCM1000000b205a0aRCRD|RIBERA DEL MANZANARES|CALLE|V|113.0|||||MADRID|MADRID|28008.0|1.0|CASA DE CAMPO|9.0|MONCLOA-ARAVACA|438061.0|4475708.0|40.42782393254158|-3.731494497212358|915 473 628 / 915 590 035|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.7302180697378593|40.429704817409885
67|9032|Centro de Salud Castelló|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Núñez de Balboa (líneas 5 y 9), Velázquez (línea 4), Lista (línea 4).  Bus: 29, 52, 1, 74.  Bicimad: Estaciones 109 (calle José Ortega y Gasset, 30) y 87 (calle Ayala, 44).  Aparcamiento: Velázquez Ayala (42) calle Velázquez y calle Ayala.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9f84b6faa61c010VgnVCM1000000b205a0aRCRD|CASTELLO|CALLE|V|63.0|||||MADRID|MADRID|28001.0|1.0|RECOLETOS|4.0|SALAMANCA|442206.0|4475561.0|40.428686033013825|-3.681335352223554|915 778 118|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6813414103375255|40.42867887914808
68|9054|Centro de Salud Cea Bermúdez|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Canal (líneas 2 y 7).  Bus: 2, 12.  Bicimad: Estaciones 202 (calle Santander esquina con avenida de Filipinas), 201 (calle José Abascal, 2), 245 (calle Galileo, 63), 131 (calle Bravo Murillo, 44).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f194b6faa61c010VgnVCM1000000b205a0aRCRD|CEA BERMUDEZ|CALLE|V|10.0|||||MADRID|MADRID|28003.0|6.0|VALLEHERMOSO|7.0|CHAMBERI|440030.0|4476713.0|40.43890945358286|-3.7070969305008963|915 349 755|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.7071014568899767|40.43890257802282
69|8966|Centro de Salud Cebreros|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Lucero (línea 6).  Bus: 36, 39, 65, 33.  Bicimad: Estación 327 (calle El Greco, 27).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a1394b6faa61c010VgnVCM1000000b205a0aRCRD|CEBREROS|CALLE|V|74.0|||||MADRID|MADRID|28011.0|3.0|LUCERO|10.0|LATINA|436487.0|4473063.0|40.405762312503|-3.748506644013436|914 642 716|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.7485088460766502|40.40575896387314
70|9028|Centro de Salud Cerro Almodóvar|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Bus: 145, 63, 58.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=34494b6faa61c010VgnVCM1000000b205a0aRCRD|FUENTESPINA|CALLE|V|2.0|||||MADRID|MADRID|28031.0|2.0|SANTA EUGENIA|18.0|VILLA DE VALLECAS|448673.0|4470158.0|40.380429399996416|-3.604667154064617|913 311 836|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6046696262717814|40.38042920585969
71|8960|Centro de Salud Ciudad de los Periodistas|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Herrera Oria (línea 9).  Bus: 134, 49, 133, 67, 124, 127.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb794b6faa61c010VgnVCM1000000b205a0aRCRD|VALENCIA DE DON JUAN|CALLE|V|1.0|||||MADRID|MADRID|28034.0|5.0|LA PAZ|8.0|FUENCARRAL-EL PARDO|440052.0|4481806.0|40.484786499278385|-3.707313384657511|917 303 399|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.707323150589255|40.484783915979165
72|8951|Centro de Salud Ciudad Jardín|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Alfonso XIII (línea 4).  Bus: 73, 9.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6594b6faa61c010VgnVCM1000000b205a0aRCRD|PANTOJA|CALLE|V|3.0|||||MADRID|MADRID|28002.0|3.0|CIUDAD JARDIN|5.0|CHAMARTIN|443142.0|4477625.0|40.447345176074364|-3.6704835478955995|915 194 411|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6704921922318046|40.44733692671235
73|9065|Centro de Salud Comillas|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Marqués de Vadillo (línea 5).  Bus: 55, 60.  Bicimad: Estación 228 (calle San Delfín, 9).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e894b6faa61c010VgnVCM1000000b205a0aRCRD|EDUARDO MARQUINA|CALLE|V|33.0|||||MADRID|MADRID|28019.0|1.0|COMILLAS|11.0|CARABANCHEL|439740.0|4471543.0|40.39231635332082|-3.7100292607227203|914 605 100|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.710030821245022|40.39230787417753
74|9040|Centro de Salud Daroca|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: El Carmen (línea 5).  Bus: 106, 110, 210, 146, 38.  Bicimad: Estación 188 (Avenida Daroca, 2).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01a94b6faa61c010VgnVCM1000000b205a0aRCRD|DAROCA|AVENIDA|V|4.0|||||MADRID|MADRID|28017.0|1.0|VENTAS|15.0|CIUDAD LINEAL|444189.0|4475770.0|40.43069861815235|-3.657980338643195|913 553 004|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.657983388787743|40.430697068228596
75|9064|Centro de Salud Delicias|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Palos de la Frontera (línea 3).  Bus: 19, 45, 86, 27, 55, 247, 47, 8, 59, 6, 85, 102.  Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C4b, C5, C7, C10).  Bicimad: Estaciones 120 (calle Palos de la Frontera 27), 168 (paseo Santa María de la cabeza, 29).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93b94b6faa61c010VgnVCM1000000b205a0aRCRD|DELICIAS|CALLE|V|5.0|||||MADRID|MADRID|28045.0|6.0|PALOS DE LA FRONTERA|2.0|ARGANZUELA|441017.0|4472863.0|40.40429462103094|-3.6951005207431646|914 678 962|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6951075494705816|40.4042905236694
76|31598|Centro de Salud Doctor Castroviejo|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Antonio Machado (línea 7).  Bus: 42, 127, 132.  Bicimad: Estación 599 (calle La Cabrera sin número).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9e5b3e42751c010VgnVCM2000000c205a0aRCRD|CANDIDO MATEOS|CALLE|V|11.0|||||MADRID|MADRID|28035.0|3.0|PEÑA GRANDE|8.0|FUENCARRAL-EL PARDO|439135.0|4480478.0|40.47275812175723|-3.7180074802024268|913 739 500|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.7180145155515407|40.47275411308489
77|9020|Centro de Salud Doctor Cirajas|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Ciudad Lineal (línea 5), Pueblo Nuevo (líneas 5 y 7).  Bus: 105, 38, 4, 48, 70.  Bicimad: Estación 477 (calle de los Misterios, 1).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=26c94b6faa61c010VgnVCM1000000b205a0aRCRD|DOCTOR CIRAJAS|CALLE|V|20.0|||||MADRID|MADRID|28017.0|2.0|PUEBLO NUEVO|15.0|CIUDAD LINEAL|446074.0|4476487.0|40.43540069493309|-3.637101566557678|913 221 540|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.635822353693764|40.43728055225024
78|9014|Centro de Salud el Espinillo|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Ciudad de los Ángeles (línea 3).  Bus: 123, 23.  Bicimad: Estación 398 (avenida de Orovilla, 53).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4be94b6faa61c010VgnVCM1000000b205a0aRCRD|OROVILLA|AVENIDA|V|53.0|||||MADRID|MADRID|28041.0|4.0|LOS ROSALES|17.0|VILLAVERDE|441479.0|4467795.0|40.35866890396059|-3.689189990174005|913 180 775|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6891978691640883|40.35866777488531
79|9011|Centro de Salud El Pardo|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ddf94b6faa61c010VgnVCM1000000b205a0aRCRD|CARLOS MORLA LYNCH|CALLE|V|2.0|||||MADRID|MADRID|28048.0|1.0|EL PARDO|8.0|FUENCARRAL-EL PARDO|434187.0|4485593.0|40.51845983648865|-3.7769019581577314|913 760 233|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.776911685635232|40.51845373411917
80|34480|Centro de Salud Eloy Gonzalo|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Quevedo (línea 2), Iglesia (línea 1).  Bus: 3, 16, 61, 149.  Bicimad: Estación 126 (Calle General Álvarez de Castro, 2).  Aparcamiento: Olavide (52) plaza de Olavide.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5cf5b3e42751c010VgnVCM2000000c205a0aRCRD|ELOY GONZALO|CALLE|V|24.0|||||MADRID|MADRID|28010.0|3.0|TRAFALGAR|7.0|CHAMBERI|440508.0|4476180.0|40.434135698858555|-3.7014131909582875|915 932 300|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.701415899671593|40.434135411125396
81|8977|Centro de Salud Embajadores|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Embajadores (línea 3), Acacias (línea 5).  Bus: 148, 60, 78, 55, 59, 6, 85, E1.  Cercanías Renfe: Embajadores (línea C5).  Bicimad: Estación 121 (Paseo Santa María de la Cabeza, 58).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=601a4b6faa61c010VgnVCM1000000b205a0aRCRD|CARDENAL SOLIS|CALLE|V|6.0|||||MADRID|MADRID|28012.0|6.0|PALOS DE LA FRONTERA|2.0|ARGANZUELA|440647.0|4472617.0|40.40205374534575|-3.6994413497792995|914 671 200|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6994447092244647|40.40204813837495
82|5647268|Centro de Salud Ensanche de Vallecas|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Congosto (línea 1).  Bus: 142, 103.||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=78f1a1832ebf7210VgnVCM1000000b205a0aRCRD|CINCOVILLAS|CALLE|V|1.0|||||MADRID|MADRID|28051.0|3.0|ENSANCHE DE VALLECAS|18.0|VILLA DE VALLECAS|447041.0|4468832.0|40.368389612130315|-3.623780031558085|913 852 255|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.623784551041488|40.368381568590735
83|7651810|Centro de Salud Entrevías|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Bus: 103, 111, 24.  Cercanías Renfe: Asamblea de Madrid (líneas C2, C7 y Regional).  Bicimad: Estación 423 (avenida de Entrevías, 56).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=537fec621fca8410VgnVCM1000000b205a0aRCRD|DE LA CAMPIÑA|CALLE|V|||||sin número|MADRID|MADRID|28053.0|1.0|ENTREVIAS|13.0|PUENTE DE VALLECAS|443138.0|4470060.0|40.37950685194537|-3.669865768256801|915 073 030|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.669863213892965|40.379187048000425
84|9005|Centro de Salud Espronceda|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Ríos Rosas (línea 1), Alonso Cano (línea 7), Gregorio Marañón (líneas 7 y 10).  Bus: 5, 12, 45.  Bicimad: Estación 129 (calle José Abascal, 33).|Este Centro de Salud presta atención continuada como centro de continuidad de cuidados de enfermería de lunes a viernes de 21 a 8 horas y los sábados, domingos y festivos 24 horas.|3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=853a4b6faa61c010VgnVCM1000000b205a0aRCRD|ESPRONCEDA|CALLE|V|24.0|||||MADRID|MADRID|28003.0|5.0|RIOS ROSAS|7.0|CHAMBERI|440910.0|4476884.0|40.44051007704015|-3.6967416544806664|913 994 149|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6967420842368193|40.440506019368215
85|62770|Centro de Salud Estrecho de Corea|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Barrio de la Concepción (línea 7).  Bus: 21, 146, 48.  Bicimad: Estación 229 (calle José del Hierro, 5).  Aparcamiento: Corazón de María II (3), calle Corazón de María (final de la calle).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0903598d1351c010VgnVCM1000000b205a0aRCRD|ESTRECHO DE COREA|CALLE|V|1.0|||||MADRID|MADRID|28027.0|4.0|CONCEPCION|15.0|CIUDAD LINEAL|445048.0|4476788.0|40.43992536201383|-3.6479375547206603|914 073 714|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.647944861297951|40.4399249596721
86|8942|Centro de Salud Federica Montseny|||Cita previa:   Online. Desde dispositivos móviles. Por telefonía automatizada de reconocimiento de voz. Quiosco digital en el centro de salud. Presencialmente en el centro de salud.|Metro: Miguel Hernández (línea 1).  Bus: 103, 142, 143, 54, 58, 144.  Bicimad: Estación 435 (calle San Claudio, 154).||3|http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=184a4b6faa61c010VgnVCM1000000b205a0aRCRD|ALBUFERA|AVENIDA|V|285.0|||||MADRID|MADRID|28038.0|4.0|PALOMERAS SURESTE|13.0|PUENTE DE VALLECAS|445702.0|4470966.0|40.3875260383175|-3.639733081570062|913 909 975|||/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosSalud| |-3.6397370292339644|40.38751988925774
